casename,m,k,n,bias,a_dtype,b_dtype,c_dtype,transA,transB,format,base_m,base_n,base_k,tile_k_l1,scale_k_l1,l1_buffers,db_l0c,a_full_load
qbmm_mx_1420_4096_1560_FT_fp8e5m2_fp8e5m2_bfloat16_bias,1420,4096,1560,1560,fp8_e5m2,fp8_e5m2,bfloat16,false,true,"(ND,ND)",160,224,128,256,4096,4,1,false
qbmm_mx_512_512_1024_FT_fp8e5m2_fp8e5m2_bfloat16_afl_bias,512,512,1024,1024,fp8_e5m2,fp8_e5m2,bfloat16,false,true,"(ND,ND)",128,128,256,512,512,2,2,true
qbmm_mx_16_384_592_FT_fp8e5m2_fp8e5m2_bfloat16_afl_bias,16,384,592,592,fp8_e5m2,fp8_e5m2,bfloat16,false,true,"(ND,ND)",16,32,384,384,384,4,2,true
qbmm_mx_10240_1024_2624_FT_fp8e5m2_fp8e5m2_bfloat16,10240,1024,2624,0,fp8_e5m2,fp8_e5m2,bfloat16,false,true,"(ND,ND)",256,256,128,256,1024,2,1,false
qbmm_mx_6_74_9_FT_fp8e5m2_fp8e5m2_float32_afl_bias,6,74,9,9,fp8_e5m2,fp8_e5m2,float32,false,true,"(ND,ND)",16,16,128,128,128,4,2,true
qbmm_mx_122_192_16_FF_fp8e5m2_fp8e5m2_float32_afl_bias,122,192,16,16,fp8_e5m2,fp8_e5m2,float32,false,false,"(ND,ND)",16,32,128,256,256,4,2,true
qbmm_mx_254_64_640_TT_fp8e4m3_fp8e5m2_float32_afl_bias,254,64,640,640,fp8_e4m3,fp8_e5m2,float32,true,true,"(ND,ND)",128,48,64,64,64,4,2,true
qbmm_mx_26_32_7232_TF_fp8e5m2_fp8e5m2_float32_afl_bias,26,32,7232,7232,fp8_e5m2,fp8_e5m2,float32,true,false,"(ND,ND)",128,256,64,64,64,4,2,true
qbmm_mx_366_512_13312_FT_fp8e4m3_fp8e4m3_float16,366,512,13312,0,fp8_e4m3,fp8_e4m3,float16,false,true,"(ND,ND)",192,256,128,256,512,4,1,false
qbmm_mx_1819_510_4096_FT_fp8e4m3_fp8e5m2_float16,1819,510,4096,0,fp8_e4m3,fp8_e5m2,float16,false,true,"(ND,ND)",256,256,128,256,512,2,1,false
qbmm_mx_1820_575_4352_FT_fp8e5m2_fp8e4m3_float16,1820,575,4352,0,fp8_e5m2,fp8_e4m3,float16,false,true,"(ND,ND)",256,256,128,256,768,3,1,false
qbmm_mx_512_512_1024_FT_fp8e4m3_fp8e4m3_bfloat16_afl_bias,512,512,1024,1024,fp8_e4m3,fp8_e4m3,bfloat16,false,true,"(ND,ND)",128,128,256,512,512,2,2,true
qbmm_mx_1420_4096_1560_FT_fp8e4m3_fp8e4m3_bfloat16_bias,1420,4096,1560,1560,fp8_e4m3,fp8_e4m3,bfloat16,false,true,"(ND,ND)",160,224,128,256,4096,4,1,false
qbmm_mx_1820_576_4352_FT_fp8e4m3_fp8e5m2_float16,1820,576,4352,0,fp8_e4m3,fp8_e5m2,float16,false,true,"(ND,ND)",256,256,128,256,768,3,1,false
qbmm_mx_10240_1024_2624_FF_fp8e4m3_fp8e4m3_bfloat16_NZ,10240,1024,2624,0,fp8_e4m3,fp8_e4m3,bfloat16,false,false,"(ND,NZ)",256,256,128,256,1024,3,1,false
qbmm_mx_10240_1024_2624_TF_fp8e4m3_fp8e4m3_bfloat16_NZ,10240,1024,2624,0,fp8_e4m3,fp8_e4m3,bfloat16,true,false,"(ND,NZ)",256,256,128,256,1024,3,1,false
qbmm_mx_1206_8512_1048_FT_fp8e4m3_fp8e4m3_bfloat16_bias_NZ,1206,8512,1048,1048,fp8_e4m3,fp8_e4m3,bfloat16,false,true,"(ND,NZ)",208,224,128,256,8704,2,1,false
qbmm_mx_4096_8192_128_FF_fp4e2m1_fp4e2m1_float16_NZ,4096,8192,128,0,fp4_e2m1,fp4_e2m1,float16,false,false,"(ND,NZ)",128,128,512,1024,8192,3,2,false
qbmm_mx_88_1600_9120_FT_fp8e5m2_fp8e5m2_bfloat16_bias_NZ,88,1600,9120,9120,fp8_e5m2,fp8_e5m2,bfloat16,false,true,"(ND,NZ)",96,256,128,256,1792,4,2,false
